# question_id|K/D|drop_category|required_content(;)|evidence(code:ST/EX/CE/AC:reason ;; ...)|out_of_scope_dependency(;)|rationale|review_reasons(;)
# 공식 교육과정 최종 감사 의미 판정 기록 (pilot 30 + batch 231, 선지 포함 원문 판독)
2025_SEPTEMBER_Q20|K||통일·대북 지원의 방식과 근거에 대한 관점 비교|2-04-03:EX:남북 분단의 배경과 평화통일을 향한 노력;;2-04-03:ST:남북 분단 상황 분석||통일 방식·근거(점진적 교류, 인도적 가치, 분단 비용)에 대한 관점 비교로 2-04-03에 직접 대응; 좌표 그림은 이미지로 확인 필요.|좌표 그림 OCR 손상
2021_SEPTEMBER_Q19|K||북한 인권 개선과 국제 사회 개입 쟁점|2-04-03:EX:남북 분단과 평화통일을 위한 노력;;2-01-03:ST:세계 인권 문제의 양상과 해결 방안||북한 인권 개선 방식에 대한 토론 쟁점은 분단 문제와 인권 문제 해결 방안으로 판단 가능.|
2014_CSAT_Q11|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2015_CSAT_Q14|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2016_CSAT_Q15|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2016_SEPTEMBER_Q10|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2017_JUNE_Q07|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2017_SEPTEMBER_Q10|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2018_SEPTEMBER_Q09|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2019_CSAT_Q09|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2019_JUNE_Q09|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2019_SEPTEMBER_Q12|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2021_CSAT_Q15|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2021_SEPTEMBER_Q10|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2022_CSAT_Q14|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2022_SEPTEMBER_Q15|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2023_JUNE_Q19|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2025_CSAT_Q09|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2027_SEPTEMBER_Q11|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어 이익 평등 고려·쾌고 감수 능력 기준;레건 삶의 주체·동물 권리;테일러 목적론적 삶의 중심;레오폴드 대지 윤리 세부;칸트·데카르트 간접적 의무 세부|벤다이어그램/흐름도 영역 배치가 동물·생명·생태 중심 사상가 간 세부 차이로 결정되어, 해설이 명시한 인간 중심주의-생태 중심주의 두 관점 비교를 넘어섬.|
2022_JUNE_Q10|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어·레건·테일러·레오폴드·칸트 도덕적 지위 기준 세부|벤다이어그램 영역 배치가 탈인간중심 사상가 간 세부 차이와 칸트 간접 의무 세부로 결정되어 교육과정 범위를 넘어섬.|Phase 1 OCR 검토 문항
2023_CSAT_Q10|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어·레건·테일러·레오폴드·칸트 도덕적 지위 기준 세부|벤다이어그램 영역 배치가 탈인간중심 사상가 간 세부 차이와 칸트 간접 의무 세부로 결정되어 교육과정 범위를 넘어섬.|Phase 1 OCR 검토 문항
2024_CSAT_Q15|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어·레건·테일러·레오폴드·칸트 도덕적 지위 기준 세부|벤다이어그램 영역 배치가 탈인간중심 사상가 간 세부 차이와 칸트 간접 의무 세부로 결정되어 교육과정 범위를 넘어섬.|Phase 1 OCR 검토 문항
2024_JUNE_Q15|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어·레건·테일러·레오폴드·칸트 도덕적 지위 기준 세부|벤다이어그램 영역 배치가 탈인간중심 사상가 간 세부 차이와 칸트 간접 의무 세부로 결정되어 교육과정 범위를 넘어섬.|Phase 1 OCR 검토 문항
2025_JUNE_Q09|D|ENV_DETAIL|3인 환경 윤리 사상가 입장의 영역 배치||싱어·레건·테일러·레오폴드·칸트 도덕적 지위 기준 세부|벤다이어그램 영역 배치가 탈인간중심 사상가 간 세부 차이와 칸트 간접 의무 세부로 결정되어 교육과정 범위를 넘어섬.|Phase 1 OCR 검토 문항
2014_JUNE_Q16|D|ENV_DETAIL|칸트 간접적 의무 vs 싱어 동물 해방론||싱어 쾌고 감수 능력·종 차별주의 비판;칸트 동물·식물 관련 간접적 의무 세부|두 입장 비교이나 상대편이 생태 중심주의가 아닌 동물 중심주의이고, 선지가 싱어·칸트 이론 세부로 판별되어 교육과정의 두 관점 비교에 해당하지 않음.|제시문으로 일부 추론 가능
2015_SEPTEMBER_Q07|D|ENV_DETAIL|칸트 간접적 의무 vs 싱어 동물 해방론||싱어 쾌고 감수 능력·종 차별주의 비판;칸트 동물·식물 관련 간접적 의무 세부|두 입장 비교이나 상대편이 생태 중심주의가 아닌 동물 중심주의이고, 선지가 싱어·칸트 이론 세부로 판별되어 교육과정의 두 관점 비교에 해당하지 않음.|제시문으로 일부 추론 가능
2025_SEPTEMBER_Q06|K||인간 중심주의와 생태 중심주의(대지 윤리)의 자연관 비교|1-03-02:EX:인간 중심주의와 생태 중심주의를 중심으로 두 관점 비교;;1-03-02:CE:내용 요소 '자연관'||'적어도 한 사람이 긍정' 판단의 축이 생태 중심주의(토지를 자원으로만 보지 않음) 대 인간 중심주의(인간에 대한 의무)로, 해설의 두 관점 비교에 직접 대응.|칸트 의무론 세부 일부(ㄷ·ㄹ) 필요
2023_JUNE_Q17|K||불관용에 대한 불관용·자문화 비판과 보편적 판단 기준|1-04-03:EX:문화 상대주의가 극단으로 흐르지 않도록 보편 윤리 차원에서 평가;;1-04-03:ST:보편 윤리 차원에서 자문화와 타문화 평가||극단적 문화 상대주의(모든 문화 용인·기준 부재) 부정과 보편적 기준 인정이 정답 축으로 1-04-03 해설과 직접 일치.|Phase 1 OCR 검토 문항
2019_SEPTEMBER_Q16|K||종교 간 갈등 해결을 위한 관용|1-04-04:ST:문화적 다양성 존중을 바탕으로 갈등 해결 방안 모색;;2-04-02:ST:국제 사회의 갈등과 협력||칼럼 제시문에서 종교적 박해의 부당성을 추론하는 문항으로 문화적 다양성 존중을 통한 갈등 해결로 판단 가능; 로크 종교론 세부 지식은 불필요.|종교 관용론 소재
2014_SEPTEMBER_Q20|D|OTHER_OUT_OF_SCOPE|퍼즐 풀이로 다문화 정책 모형 도출||퍼즐 열쇠의 윤리 사상 지식(용기의 덕, 원광 법사 세속오계, 로고스)|다문화 정책 사례 판단 자체는 범위 안이나, 정답 개념을 얻으려면 윤리 사상 퍼즐 지식이 필수라 교육과정만으로 안정적 해결 불가.|퍼즐 부분 OCR 손상
2015_CSAT_Q13|K||동화주의·주류 중심 모형 vs 다문화주의(샐러드 볼) 공존 방식|1-04-04:ST:다문화 사회 현황과 문화적 다양성 존중;;1-04-04:CE:내용 요소 '다문화 사회'||비유로 제시된 다문화 사회의 통합 방식 비교로 1-04-04와 직접 대응.|
2015_JUNE_Q09|K||동화주의·주류 중심 모형 vs 다문화주의(샐러드 볼) 공존 방식|1-04-04:ST:다문화 사회 현황과 문화적 다양성 존중;;1-04-04:CE:내용 요소 '다문화 사회'||비유로 제시된 다문화 사회의 통합 방식 비교로 1-04-04와 직접 대응.|
2019_CSAT_Q20|K||동화주의 vs 다문화주의(문화적 다양성 인정) 정책 입장 구분|1-04-04:ST:다문화 사회 현황과 문화적 다양성 존중을 바탕으로 한 갈등 해결 방안;;1-04-04:CE:내용 요소 '다문화 사회';;1-04-02:EX:문화 동화 등 문화 변동 양상||이주민 문화 통합 방식(동화 vs 대등한 공존)의 입장 판별로 다문화 사회 갈등 해결 방안에 직접 대응.|
2019_JUNE_Q07|K||동화주의 vs 다문화주의(문화적 다양성 인정) 정책 입장 구분|1-04-04:ST:다문화 사회 현황과 문화적 다양성 존중을 바탕으로 한 갈등 해결 방안;;1-04-04:CE:내용 요소 '다문화 사회';;1-04-02:EX:문화 동화 등 문화 변동 양상||이주민 문화 통합 방식(동화 vs 대등한 공존)의 입장 판별로 다문화 사회 갈등 해결 방안에 직접 대응.|
2020_CSAT_Q08|K||동화주의 vs 다문화주의(문화적 다양성 인정) 정책 입장 구분|1-04-04:ST:다문화 사회 현황과 문화적 다양성 존중을 바탕으로 한 갈등 해결 방안;;1-04-04:CE:내용 요소 '다문화 사회';;1-04-02:EX:문화 동화 등 문화 변동 양상||이주민 문화 통합 방식(동화 vs 대등한 공존)의 입장 판별로 다문화 사회 갈등 해결 방안에 직접 대응.|
2020_JUNE_Q16|K||동화주의 vs 다문화주의(문화적 다양성 인정) 정책 입장 구분|1-04-04:ST:다문화 사회 현황과 문화적 다양성 존중을 바탕으로 한 갈등 해결 방안;;1-04-04:CE:내용 요소 '다문화 사회';;1-04-02:EX:문화 동화 등 문화 변동 양상||이주민 문화 통합 방식(동화 vs 대등한 공존)의 입장 판별로 다문화 사회 갈등 해결 방안에 직접 대응.|
2023_CSAT_Q08|K||동화주의 vs 다문화주의(문화적 다양성 인정) 정책 입장 구분|1-04-04:ST:다문화 사회 현황과 문화적 다양성 존중을 바탕으로 한 갈등 해결 방안;;1-04-04:CE:내용 요소 '다문화 사회';;1-04-02:EX:문화 동화 등 문화 변동 양상||이주민 문화 통합 방식(동화 vs 대등한 공존)의 입장 판별로 다문화 사회 갈등 해결 방안에 직접 대응.|
2024_JUNE_Q17|K||동화주의 vs 다문화주의(문화적 다양성 인정) 정책 입장 구분|1-04-04:ST:다문화 사회 현황과 문화적 다양성 존중을 바탕으로 한 갈등 해결 방안;;1-04-04:CE:내용 요소 '다문화 사회';;1-04-02:EX:문화 동화 등 문화 변동 양상||이주민 문화 통합 방식(동화 vs 대등한 공존)의 입장 판별로 다문화 사회 갈등 해결 방안에 직접 대응.|
2021_CSAT_Q18|K||동화주의(용광로) vs 다문화주의(샐러드 볼)의 상대적 특징|1-04-04:ST:다문화 사회와 문화적 다양성 존중;;1-04-04:CE:내용 요소 '다문화 사회'||두 정책 입장의 관용·공존·정체성 존중 정도 비교로 1-04-04에 직접 대응.|좌표 그림 OCR 손상(이미지 확인 필요)
2025_JUNE_Q13|K||동화주의(용광로) vs 다문화주의(샐러드 볼)의 상대적 특징|1-04-04:ST:다문화 사회와 문화적 다양성 존중;;1-04-04:CE:내용 요소 '다문화 사회'||두 정책 입장의 관용·공존·정체성 존중 정도 비교로 1-04-04에 직접 대응.|좌표 그림 OCR 손상(이미지 확인 필요)
2022_SEPTEMBER_Q16|K||타문화에 대한 이해·존중 태도|1-04-04:ST:문화적 다양성을 존중하는 태도;;1-04-04:AC:소수 문화 정체성 존중 관점의 사례 토의||정답(타문화를 이해하며 조화)이 문화적 다양성 존중 태도로 결정되며 오답(동화 강요·문화 우월·무분별 수용)도 교육과정 개념으로 배제 가능.|공자 화이부동 제시문 사용
2017_SEPTEMBER_Q12|K||다문화주의의 집단별 권리 인정과 그 비판에 대한 평가|1-04-04:ST:다문화 사회 현황 조사와 갈등 해결 방안 모색;;1-04-04:CE:내용 요소 '다문화 사회'||필자(다문화주의 옹호)의 관점에서 비판론을 평가하는 문항으로 다문화 정책의 효과(사회 통합) 판단에 해당.|킴리카식 집단 차별화 권리 개념 포함
2014_CSAT_Q15|K||정보 격차와 정보 복지(정보 소외 계층 지원)|1-05-02:EX:해설이 '정보 격차'를 새로운 사회문제로 명시;;2-02-03:EX:사회적 약자 차별과 사회 복지 제도||정보 소외 계층의 격차 해소와 공적 지원 판단은 해설 명시 개념으로 직접 해결됨.|
