id,exam_key,question_number,original_compilation_page,split_pdf,split_pdf_page,confidence,warnings,qa_flags,question_image
2016_SEPTEMBER_LIFE_ETHICS_Q19,2016_SEPTEMBER_LIFE_ETHICS,19,32,생윤기출_02_p021-040.pdf,12,0.883,"CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",QA_CHOICE_TEXT_EMPTY,data/questions/images/2016_SEPTEMBER_LIFE_ETHICS_Q19.png
2017_CSAT_LIFE_ETHICS_Q19,2017_CSAT_LIFE_ETHICS,19,48,생윤기출_03_p041-060.pdf,8,0.88,"CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",QA_CHOICE_TEXT_EMPTY,data/questions/images/2017_CSAT_LIFE_ETHICS_Q19.png
2017_CSAT_LIFE_ETHICS_Q20,2017_CSAT_LIFE_ETHICS,20,48,생윤기출_03_p041-060.pdf,8,0.859,"TRAILING_NOTICE_BOX_EXCLUDED | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",QA_CHOICE_TEXT_EMPTY,data/questions/images/2017_CSAT_LIFE_ETHICS_Q20.png
2017_JUNE_LIFE_ETHICS_Q13,2017_JUNE_LIFE_ETHICS,13,39,생윤기출_02_p021-040.pdf,19,0.861,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2017_JUNE_LIFE_ETHICS_Q13.png
2018_CSAT_LIFE_ETHICS_Q12,2018_CSAT_LIFE_ETHICS,12,59,생윤기출_03_p041-060.pdf,19,0.844,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2018_CSAT_LIFE_ETHICS_Q12.png
2019_JUNE_LIFE_ETHICS_Q10,2019_JUNE_LIFE_ETHICS,10,62,생윤기출_04_p061-080.pdf,2,0.891,"CHOICE4_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2019_JUNE_LIFE_ETHICS_Q10.png
2019_JUNE_LIFE_ETHICS_Q19,2019_JUNE_LIFE_ETHICS,19,64,생윤기출_04_p061-080.pdf,4,0.895,"CHOICE4_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2019_JUNE_LIFE_ETHICS_Q19.png
2019_SEPTEMBER_LIFE_ETHICS_Q13,2019_SEPTEMBER_LIFE_ETHICS,13,67,생윤기출_04_p061-080.pdf,7,0.906,"CHOICE2_TEXT_FROM_CELL_OCR | CHOICE4_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2019_SEPTEMBER_LIFE_ETHICS_Q13.png
2020_CSAT_LIFE_ETHICS_Q11,2020_CSAT_LIFE_ETHICS,11,83,생윤기출_05_p081-100.pdf,3,0.905,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2020_CSAT_LIFE_ETHICS_Q11.png
2020_CSAT_LIFE_ETHICS_Q13,2020_CSAT_LIFE_ETHICS,13,83,생윤기출_05_p081-100.pdf,3,0.899,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE2_TEXT_FROM_CELL_OCR | CHOICE4_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2020_CSAT_LIFE_ETHICS_Q13.png
2020_JUNE_LIFE_ETHICS_Q12,2020_JUNE_LIFE_ETHICS,12,75,생윤기출_04_p061-080.pdf,15,0.904,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2020_JUNE_LIFE_ETHICS_Q12.png
2020_SEPTEMBER_LIFE_ETHICS_Q11,2020_SEPTEMBER_LIFE_ETHICS,11,79,생윤기출_04_p061-080.pdf,19,0.891,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2020_SEPTEMBER_LIFE_ETHICS_Q11.png
2021_CSAT_LIFE_ETHICS_Q05,2021_CSAT_LIFE_ETHICS,5,93,생윤기출_05_p081-100.pdf,13,0.882,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2021_CSAT_LIFE_ETHICS_Q05.png
2021_CSAT_LIFE_ETHICS_Q10,2021_CSAT_LIFE_ETHICS,10,94,생윤기출_05_p081-100.pdf,14,0.87,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2021_CSAT_LIFE_ETHICS_Q10.png
2021_CSAT_LIFE_ETHICS_Q11,2021_CSAT_LIFE_ETHICS,11,95,생윤기출_05_p081-100.pdf,15,0.899,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2021_CSAT_LIFE_ETHICS_Q11.png
2021_CSAT_LIFE_ETHICS_Q14,2021_CSAT_LIFE_ETHICS,14,95,생윤기출_05_p081-100.pdf,15,0.906,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2021_CSAT_LIFE_ETHICS_Q14.png
2021_CSAT_LIFE_ETHICS_Q18,2021_CSAT_LIFE_ETHICS,18,96,생윤기출_05_p081-100.pdf,16,0.908,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2021_CSAT_LIFE_ETHICS_Q18.png
2021_JUNE_LIFE_ETHICS_Q05,2021_JUNE_LIFE_ETHICS,5,85,생윤기출_05_p081-100.pdf,5,0.914,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE4_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 3] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2021_JUNE_LIFE_ETHICS_Q05.png
2021_JUNE_LIFE_ETHICS_Q19,2021_JUNE_LIFE_ETHICS,19,88,생윤기출_05_p081-100.pdf,8,0.897,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2021_JUNE_LIFE_ETHICS_Q19.png
2021_SEPTEMBER_LIFE_ETHICS_Q04,2021_SEPTEMBER_LIFE_ETHICS,4,89,생윤기출_05_p081-100.pdf,9,0.898,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2021_SEPTEMBER_LIFE_ETHICS_Q04.png
2021_SEPTEMBER_LIFE_ETHICS_Q18,2021_SEPTEMBER_LIFE_ETHICS,18,92,생윤기출_05_p081-100.pdf,12,0.906,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2021_SEPTEMBER_LIFE_ETHICS_Q18.png
2022_CSAT_LIFE_ETHICS_Q04,2022_CSAT_LIFE_ETHICS,4,105,생윤기출_06_p101-120.pdf,5,0.895,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_CSAT_LIFE_ETHICS_Q04.png
2022_CSAT_LIFE_ETHICS_Q06,2022_CSAT_LIFE_ETHICS,6,106,생윤기출_06_p101-120.pdf,6,0.885,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_CSAT_LIFE_ETHICS_Q06.png
2022_CSAT_LIFE_ETHICS_Q07,2022_CSAT_LIFE_ETHICS,7,106,생윤기출_06_p101-120.pdf,6,0.892,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_CSAT_LIFE_ETHICS_Q07.png
2022_CSAT_LIFE_ETHICS_Q10,2022_CSAT_LIFE_ETHICS,10,106,생윤기출_06_p101-120.pdf,6,0.904,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_CSAT_LIFE_ETHICS_Q10.png
2022_CSAT_LIFE_ETHICS_Q11,2022_CSAT_LIFE_ETHICS,11,107,생윤기출_06_p101-120.pdf,7,0.911,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_CSAT_LIFE_ETHICS_Q11.png
2022_CSAT_LIFE_ETHICS_Q15,2022_CSAT_LIFE_ETHICS,15,107,생윤기출_06_p101-120.pdf,7,0.895,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_CSAT_LIFE_ETHICS_Q15.png
2022_JUNE_LIFE_ETHICS_Q03,2022_JUNE_LIFE_ETHICS,3,97,생윤기출_05_p081-100.pdf,17,0.898,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_JUNE_LIFE_ETHICS_Q03.png
2022_JUNE_LIFE_ETHICS_Q05,2022_JUNE_LIFE_ETHICS,5,97,생윤기출_05_p081-100.pdf,17,0.891,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_JUNE_LIFE_ETHICS_Q05.png
2022_JUNE_LIFE_ETHICS_Q06,2022_JUNE_LIFE_ETHICS,6,98,생윤기출_05_p081-100.pdf,18,0.895,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_JUNE_LIFE_ETHICS_Q06.png
2022_JUNE_LIFE_ETHICS_Q10,2022_JUNE_LIFE_ETHICS,10,98,생윤기출_05_p081-100.pdf,18,0.868,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_JUNE_LIFE_ETHICS_Q10.png
2022_JUNE_LIFE_ETHICS_Q11,2022_JUNE_LIFE_ETHICS,11,99,생윤기출_05_p081-100.pdf,19,0.903,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_JUNE_LIFE_ETHICS_Q11.png
2022_JUNE_LIFE_ETHICS_Q15,2022_JUNE_LIFE_ETHICS,15,99,생윤기출_05_p081-100.pdf,19,0.909,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_JUNE_LIFE_ETHICS_Q15.png
2022_SEPTEMBER_LIFE_ETHICS_Q02,2022_SEPTEMBER_LIFE_ETHICS,2,101,생윤기출_06_p101-120.pdf,1,0.877,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_SEPTEMBER_LIFE_ETHICS_Q02.png
2022_SEPTEMBER_LIFE_ETHICS_Q07,2022_SEPTEMBER_LIFE_ETHICS,7,102,생윤기출_06_p101-120.pdf,2,0.904,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2022_SEPTEMBER_LIFE_ETHICS_Q07.png
2023_CSAT_LIFE_ETHICS_Q10,2023_CSAT_LIFE_ETHICS,10,118,생윤기출_06_p101-120.pdf,18,0.878,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_CSAT_LIFE_ETHICS_Q10.png
2023_CSAT_LIFE_ETHICS_Q13,2023_CSAT_LIFE_ETHICS,13,119,생윤기출_06_p101-120.pdf,19,0.902,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_CSAT_LIFE_ETHICS_Q13.png
2023_CSAT_LIFE_ETHICS_Q14,2023_CSAT_LIFE_ETHICS,14,119,생윤기출_06_p101-120.pdf,19,0.858,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_CSAT_LIFE_ETHICS_Q14.png
2023_CSAT_LIFE_ETHICS_Q20,2023_CSAT_LIFE_ETHICS,20,120,생윤기출_06_p101-120.pdf,20,0.906,"TRAILING_NOTICE_BOX_EXCLUDED | CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_CSAT_LIFE_ETHICS_Q20.png
2023_JUNE_LIFE_ETHICS_Q06,2023_JUNE_LIFE_ETHICS,6,110,생윤기출_06_p101-120.pdf,10,0.912,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_JUNE_LIFE_ETHICS_Q06.png
2023_JUNE_LIFE_ETHICS_Q08,2023_JUNE_LIFE_ETHICS,8,110,생윤기출_06_p101-120.pdf,10,0.902,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_JUNE_LIFE_ETHICS_Q08.png
2023_JUNE_LIFE_ETHICS_Q11,2023_JUNE_LIFE_ETHICS,11,111,생윤기출_06_p101-120.pdf,11,0.91,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_JUNE_LIFE_ETHICS_Q11.png
2023_JUNE_LIFE_ETHICS_Q17,2023_JUNE_LIFE_ETHICS,17,112,생윤기출_06_p101-120.pdf,12,0.901,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_JUNE_LIFE_ETHICS_Q17.png
2023_JUNE_LIFE_ETHICS_Q20,2023_JUNE_LIFE_ETHICS,20,112,생윤기출_06_p101-120.pdf,12,0.89,"TRAILING_NOTICE_BOX_EXCLUDED | CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_JUNE_LIFE_ETHICS_Q20.png
2023_SEPTEMBER_LIFE_ETHICS_Q03,2023_SEPTEMBER_LIFE_ETHICS,3,113,생윤기출_06_p101-120.pdf,13,0.904,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_SEPTEMBER_LIFE_ETHICS_Q03.png
2023_SEPTEMBER_LIFE_ETHICS_Q08,2023_SEPTEMBER_LIFE_ETHICS,8,114,생윤기출_06_p101-120.pdf,14,0.909,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_SEPTEMBER_LIFE_ETHICS_Q08.png
2023_SEPTEMBER_LIFE_ETHICS_Q10,2023_SEPTEMBER_LIFE_ETHICS,10,114,생윤기출_06_p101-120.pdf,14,0.869,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_SEPTEMBER_LIFE_ETHICS_Q10.png
2023_SEPTEMBER_LIFE_ETHICS_Q16,2023_SEPTEMBER_LIFE_ETHICS,16,116,생윤기출_06_p101-120.pdf,16,0.909,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_SEPTEMBER_LIFE_ETHICS_Q16.png
2023_SEPTEMBER_LIFE_ETHICS_Q18,2023_SEPTEMBER_LIFE_ETHICS,18,116,생윤기출_06_p101-120.pdf,16,0.894,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2023_SEPTEMBER_LIFE_ETHICS_Q18.png
2024_CSAT_LIFE_ETHICS_Q11,2024_CSAT_LIFE_ETHICS,11,131,생윤기출_07_p121-140.pdf,11,0.911,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2024_CSAT_LIFE_ETHICS_Q11.png
2024_CSAT_LIFE_ETHICS_Q15,2024_CSAT_LIFE_ETHICS,15,131,생윤기출_07_p121-140.pdf,11,0.879,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2024_CSAT_LIFE_ETHICS_Q15.png
2024_JUNE_LIFE_ETHICS_Q03,2024_JUNE_LIFE_ETHICS,3,121,생윤기출_07_p121-140.pdf,1,0.906,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2024_JUNE_LIFE_ETHICS_Q03.png
2024_JUNE_LIFE_ETHICS_Q08,2024_JUNE_LIFE_ETHICS,8,122,생윤기출_07_p121-140.pdf,2,0.905,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2024_JUNE_LIFE_ETHICS_Q08.png
2024_JUNE_LIFE_ETHICS_Q14,2024_JUNE_LIFE_ETHICS,14,123,생윤기출_07_p121-140.pdf,3,0.891,"CHOICE3_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2024_JUNE_LIFE_ETHICS_Q14.png
