# LIFE_ETHICS FINAL 136 targeted answer-logic correction (human semantic judgments; core question = what knowledge determines the correct answer)
# fields: short_id|K(KEEP)/D(DROP)|trigger(;)|answer_logic|integrated_social_content(;)|specific_extra_knowledge(empty=none)|kice_example_support|kice_depth_match Y/N|adaptation N=NONE L=LIGHT S=SUBSTANTIAL|drop_reasons(;)|why_content_presence_is_insufficient|review_reasons(;)
2014_SEPTEMBER_Q11|K|KICE_RESTORED;RAWLS_NOZICK|무지의 베일 속 당사자가 자신이 처할 최악의 경우를 고려해 분배 방식을 선택한다는 논리로 정답 결정|원초적 입장·우연적 조건에 대한 무지;정의 원칙 합의||28예시 Q15(원초적 입장·가장 불리한 상황 염두)|Y|N|||
2016_CSAT_Q14|K|KICE_RESTORED;RAWLS_NOZICK|노직 단일: 취득·이전·교정 원리와 최소국가 입장에서 '모든 우연성이 배제된 계약'(원초적 입장)에 부정 대답|정당한 소유 권리(취득·이전·교정);최소국가||28예시 Q15(노직 취득·이전·교정, 롤스 원초적 입장과 대비)|Y|L|||근로소득 과세=강제 노동 선지 표현
2017_JUNE_Q11|K|KICE_RESTORED;RAWLS_NOZICK|노직 취득·양도·교정 원리를 정당 취득·자유 양도·강탈 후 양도 사례에 적용해 소유 권리 여부 판단|정당한 소유 권리(취득·이전·교정)||28예시 Q15(노직 취득·이전·교정·절차 기반 정당성)|Y|L|||제시문 정형적 원칙 용어
2027_SEPTEMBER_Q19|K|KICE_RESTORED;RAWLS_NOZICK|롤스는 사회 전체 복지 증대 분배도 부정의할 수 있다고 본다(공리주의 비판)는 논리로 정답 결정|정의 원칙 합의;공리주의 비판||28예시 Q15(롤스·노직 대비, 공리주의 비판 공통점)|Y|L|||오답 선지 원초적 입장 세부(확률 계산)
2015_SEPTEMBER_Q19|K|CORE;RAWLS_NOZICK|노직(개인 권리 침해 재분배 반대)·롤스(사회적 우연성에 따른 불평등 완화 지지)의 정책 평가로 보기 결정|정당한 소유 권리;우연적 조건과 재분배||28예시 Q15(노직 재분배 반대·롤스 우연성 무지)|Y|N|||
2014_CSAT_Q07|D|KICE_RESTORED;RAWLS_NOZICK|그림 탐구 질문 중 '개인이 자신의 이익 증진에 관심을 가진다고 가정하는가'(원초적 입장 상호 무관심) 판단이 정답 결정에 관여|원초적 입장;재분배|원초적 입장 당사자의 상호 무관심 가정;노직 과세 논증|28예시 Q15 not_required(상호 무관심)|N|S|OUTSIDE_KICE_DEPTH;LIFE_ETHICS_SPECIFIC_THEORY|롤스·노직이 등장하나 정답 판별에 원초적 입장 당사자 가정 세부가 필요함.|Phase 1 OCR 검토 문항;그림 판독 불확실
2014_JUNE_Q19,2015_CSAT_Q15|D|KICE_RESTORED;RAWLS_NOZICK;MULTI_PHILOSOPHER|그래프의 분배 방식을 롤스 차등 원칙(최소수혜자 최대 이익)과 공리주의(총합 극대화)로 각각 평가해야 정답 결정|정의 원칙;분배|차등 원칙 적용 조건;공리주의 분배 기준과의 비교|28예시 Q15는 롤스·노직 비교이며 공리주의 사상가 비교 없음|N|S|PHILOSOPHER_COMPARISON_REQUIRED;OUTSIDE_KICE_DEPTH|정의론이 등장하지만 정답이 차등 원칙 세부와 공리주의 사상가 비교로 결정됨.|그래프 OCR 불명확
2015_JUNE_Q15|D|KICE_RESTORED;RAWLS_NOZICK;MULTI_PHILOSOPHER|롤스·노직·공리주의 3자 벤다이어그램에서 공통/차이 영역을 판별해야 함|정의 원칙;재분배|공리주의 입장 식별과 3자 공통점 구분|28예시 Q15는 2자 비교|N|S|PHILOSOPHER_COMPARISON_REQUIRED|롤스·노직 내용이 있으나 3자 복합 비교 구조가 정답 결정의 핵심.|
2021_JUNE_Q07|D|KICE_RESTORED;RAWLS_NOZICK|공정한 기회균등·차등 원칙 선지와 노직의 정형적 분배 원리 선지를 판별한 뒤 '선천적 재능 비례 보상'이 양자 모두 부정임을 확정|정의 원칙;정당한 소유|노직 정형적/역사적 원리 구분;차등 원칙 세부 조건|28예시 Q15 not_required(정형적 원리·차등 원칙 세부)|N|S|OUTSIDE_KICE_DEPTH;LIFE_ETHICS_SPECIFIC_THEORY|정의론 소재이나 선지 확정에 정형적 원리 분류와 차등 원칙 세부가 필요함.|
2022_JUNE_Q07,2023_CSAT_Q09,2023_JUNE_Q09|D|KICE_RESTORED;RAWLS_NOZICK|천부적 자산의 공동 자산 관점, 최소수혜자 이익 조건부 소득 격차 허용, 자연적 운의 처리 등 차등 원칙 세부로 정답 결정|정의 원칙;분배|롤스 차등 원칙 세부(천부적 자산 활용 규제·소득 평등 분배 조건)|28예시 Q15는 차등 원칙 세부를 요구하지 않음|N|S|OUTSIDE_KICE_DEPTH;LIFE_ETHICS_SPECIFIC_THEORY|롤스·노직 비교 형식은 Q15와 같지만 정답 결정 논리가 차등 원칙 세부 조건이라 Q15 깊이를 넘어섬.|
2014_JUNE_Q08|K|KICE_RESTORED;PUNISHMENT|제시문(범죄를 저질렀다는 이유만으로, 평등의 원리에 따른 처벌)에서 범죄의 심각성에 상응하는 처벌을 위해 사형을 존치한다는 응보적 교정 논리로 정답 결정|교정적 정의(범죄에 상응하는 처벌)||28예시 Q16(칸트 응보주의: 동등성·살인에 대한 사형)|Y|L|||사형제 소재;사상가 식별 없이 제시문으로 판단 가능
2016_CSAT_Q19,2019_SEPTEMBER_Q10,2017_SEPTEMBER_Q14|D|KICE_RESTORED;PUNISHMENT;MULTI_PHILOSOPHER|칸트와 벤담을 구별해 '형벌 자체는 악(벤담)'·'형벌 고통이 이득보다 커야 함'·'인격 존중으로서의 사형(칸트)' 등 사상가별 처벌론 세부를 판별해야 함|교정적 정의|공리주의 처벌론 세부(형벌 자체는 악·비례 규칙);칸트 사형론 세부|28예시 Q16의 응보 vs 예방 대비보다 깊은 사상가별 세부|N|S|PHILOSOPHER_COMPARISON_REQUIRED;OUTSIDE_KICE_DEPTH|교정적 정의가 등장하나 정답이 칸트·벤담 처벌론 세부 비교로 결정됨.|
2015_SEPTEMBER_Q09,2027_SEPTEMBER_Q07|D|KICE_RESTORED;PUNISHMENT;MULTI_PHILOSOPHER|칸트와 베카리아의 사형·형벌 목적 입장을 식별·비교해야 정답 결정|교정적 정의|베카리아 사형 폐지론·형벌 지속성;칸트 응보주의 세부|28예시 Q16 범위 밖(베카리아)|N|S|PHILOSOPHER_COMPARISON_REQUIRED;LIFE_ETHICS_SPECIFIC_THEORY|처벌 주제이나 Kant vs Beccaria 사형제 입장 비교가 정답 논리의 핵심.|
2026_CSAT_Q07|D|KICE_RESTORED;ENVIRONMENT;MULTI_PHILOSOPHER|레오폴드와 칸트의 상호 비판 방향에서 칸트의 '무생물 관련 의무는 인간 자신에 대한 의무로 환원' 논지를 알아야 정답 결정|인간 중심주의와 생태 중심주의|칸트 간접적 의무론 세부|28예시 Q4는 베이컨 vs 레오폴드이며 칸트 간접적 의무론은 없음|N|S|PHILOSOPHER_COMPARISON_REQUIRED;LIFE_ETHICS_SPECIFIC_THEORY|자연관 비교가 등장하지만 정답이 칸트 고유의 간접적 의무 논리에 달려 있음.|
2025_SEPTEMBER_Q06|D|CORE;ENVIRONMENT;MULTI_PHILOSOPHER|레오폴드와 칸트 중 적어도 한 사람의 긍정 여부를 판단할 때 칸트의 간접적 의무·권리 주체(자연에 속한 인간) 논리가 필요|인간 중심주의와 생태 중심주의|칸트 간접적 의무론과 권리 주체 논리|28예시 Q4와 형식은 같으나 인간 중심 측이 베이컨이 아닌 칸트이며 세부 논리 요구|N|S|PHILOSOPHER_COMPARISON_REQUIRED;LIFE_ETHICS_SPECIFIC_THEORY|자연관 대비가 있지만 보기 ㄷ·ㄹ 판별이 칸트 윤리 세부로 결정됨.|Q4 형식 유사 경계 사례
2015_JUNE_Q06|D|CORE;ENVIRONMENT;MULTI_PHILOSOPHER|아리스토텔레스·테일러·레오폴드 3자 비교에서 레오폴드가 테일러와 달리 무생물까지 도덕적 고려를 확장함을 판별해야 정답 결정|인간 중심주의와 생태 중심주의|테일러 생명 중심주의와 레오폴드 생태 중심주의 구분|28예시 Q4에 생명 중심주의 없음|N|S|PHILOSOPHER_COMPARISON_REQUIRED;LIFE_ETHICS_SPECIFIC_THEORY|인간 중심 vs 생태 중심이 일부 있으나 정답 조합에 생명 중심주의 사상가 구분이 필수.|
2020_SEPTEMBER_Q15|D|KICE_RESTORED;PEACE;MULTI_PHILOSOPHER|갈퉁(평화적 수단)과 정의 전쟁론(영토 회복 전쟁·인도적 개입) 선지를 모두 판별해야 단일 정답 확정|소극적·적극적 평화|정의 전쟁론의 개시 정당성 조건|28예시 Q18은 갈퉁만 다룸|N|S|PHILOSOPHER_COMPARISON_REQUIRED;LIFE_ETHICS_SPECIFIC_THEORY|평화 개념이 등장하나 을(정의 전쟁론) 선지 판별이 필요하고 제거 시 갑/을 구조 재설계 필요.|
2019_JUNE_Q18|D|CORE;PEACE;MULTI_PHILOSOPHER|칸트(영구 평화·국가 연맹)와 갈퉁을 구별하고 칸트 선지와 공통 선지(정치 제도 개선)를 판별해야 '옳지 않은 것' 확정|소극적·적극적 평화;구조적·문화적 폭력|칸트 영구 평화론 세부|28예시 Q18은 갈퉁 단일|N|S|PHILOSOPHER_COMPARISON_REQUIRED;LIFE_ETHICS_SPECIFIC_THEORY|갈퉁 평화론이 있으나 칸트 영구 평화론 선지 판별이 정답 확정에 필요함.|
2017_JUNE_Q18|K|CORE;PEACE|갈퉁 단일: 빈곤·인권 침해 등으로 삶의 질이 저하되는 상태도 (구조적) 폭력이라는 논리로 정답 결정|직접적·구조적·문화적 폭력;소극적·적극적 평화||28예시 Q18(갈퉁 구조적·문화적 폭력, 적극적 평화)|Y|N|||
2014_JUNE_Q06|K|CORE;PEACE;KANT|제시된 영구 평화 조항(국가들의 연방 체제에 기초한 국제법) 원문에서 전쟁 방지를 위한 국제기구 창설을 추론|평화를 위한 국제기구·국제 협력의 역할||2-04-02 국제 평화 실현 방안(KICE 직접 예시 없음)|Y|L|||칸트 사상가 소재;제시문 조항 독해로 판단
2016_CSAT_Q18,2016_JUNE_Q20|K|CORE;MULTI_PHILOSOPHER|문명 충돌론(갈등 원인=문명 이질성) vs 문명 공존론(소통·교류) 입장을 제시문에서 읽고 교류를 통한 갈등 완화 판단|문명 간 갈등의 원인과 교류·소통을 통한 해결||2-04-02 성취기준 내용(KICE 직접 예시 없음)|Y|N|||
2019_CSAT_Q02|K|CORE;MULTI_PHILOSOPHER|제시문의 공동체주의(공동체 속 도덕적 정체성·덕 실천)가 공리주의(유용성)에 제기할 반론으로 '공동체의 전통이 유용성 계산보다 중요'를 선택|공동체주의와 공동선||2-02-02 공동체주의; 28예시 Q1 해설의 사상가 관점 이해 수준|Y|L|||2인 사상가 구조;을 공리주의 식별은 제시문(유용성 원리)으로 가능
2019_SEPTEMBER_Q16|K|CORE|제시문(관용이 참된 종교의 기준, 내적 확신의 강제 불가)에서 종교적 박해의 부당함을 추론|종교 간 갈등 해결과 관용||1-04-04 성취기준 내용|Y|N|||
2022_SEPTEMBER_Q16|K|CORE|화이부동의 태도에서 다른 문화를 이해하며 조화롭게 지내라는 조언 선택|문화적 다양성 존중||1-04-04 성취기준 내용|Y|N|||
2023_JUNE_Q17|K|CORE|관용의 역설(불관용에 대한 불관용)과 점진적 개선 태도로 자문화 비판 수용·불관용 문화 비관용 권리 선택|관용의 한계;보편적 판단 기준||1-04-03 문화 상대주의와 보편 윤리|Y|N|||
2024_JUNE_Q03,2025_JUNE_Q04|K|CORE|공동체 속 덕 실천·공유된 가치·도덕적 정체성의 사회적 맥락이라는 공동체주의 기본 입장으로 정답 결정|공동체주의(공동선·공유된 가치)||2-02-02 공동체주의; 28예시 Q1(덕 윤리 사상가 관점)|Y|L|||
2025_SEPTEMBER_Q03,2027_SEPTEMBER_Q20|K|CORE|종교 간 대화·자기 종교에 대한 비판적 자세가 평화에 기여한다는 제시문 논지로 정답 결정|종교 간 대화·관용과 세계 평화||2-04-02 성취기준 내용|Y|N|||
