# LIFE_ETHICS V4 strict curriculum / answer-logic audit (human semantic judgments; all 109 V3 items read + civil-disobedience policy re-review)
# KEEP requires A (official content match: [별책7] standard text/explanation/content element or KICE 2028 sample) AND B (that content decides the answer).
# fields: short_ids|K/D|theme|core_answer_logic|official_evidence (SRC:reference:supported_concept ;; ...)|topic_overlap_only Y/N|out_of_scope_knowledge|adaptation N/L/S|drop_reasons(;)|rationale|review_reasons(;)|previous_status
2018_JUNE_Q11|K|NONE|정보 격차의 원인(접근·수용 능력 vs 생산 능력)과 정보 복지 방향 비교|CURRICULUM:10통사1-05-02 해설:정보 격차와 해결 방안|N||L||정보 격차 원인·해결책 비교가 정답 논리로 1-05-02 해설과 직접 일치.|정보 리터러시 용어|V3_KEEP
2014_SEPTEMBER_Q09,2027_SEPTEMBER_Q16,2024_SEPTEMBER_Q04|K|NONE|정보 기술에 의한 감시(판옵티콘·안면 인식 AI)가 사생활과 개인의 자유를 위축시키는 문제와 그 해결(법적 보호·기술 제한)|CURRICULUM:10통사1-05-02 성취기준:과학기술 발달에 따른 생활양식 변화와 문제점의 해결 방안|N||L||성취기준이 요구하는 '과학기술 발달로 나타난 문제점과 해결 방안' 판단이 정답 논리임.|사생활 침해는 해설 예시 목록에 명시되지 않음(성취기준 문구 근거)|V3_KEEP
2017_JUNE_Q06,2022_JUNE_Q13,2023_CSAT_Q03|K|NONE|정보 사회의 개인 정보 침해 문제에 대한 해결책으로 잊힐 권리·개인 정보 자기 결정권 보장(알 권리와의 조정)|CURRICULUM:10통사1-05-02 성취기준:정보화에 따른 문제점의 해결 방안;;CURRICULUM:10통사2-01-01:현대 사회에서 인권이 확장되는 사례|N||L||정보화 문제(개인 정보 침해)의 해결 방안과 인권 확장이 정답 논리로 공식 성취기준 과제와 일치.|잊힐 권리·자기 결정권 용어는 공식 문구에 없음|V3_KEEP
2017_CSAT_Q12,2017_SEPTEMBER_Q20,2021_JUNE_Q14,2015_JUNE_Q07|K|NONE|사이버 공간 익명성·악성 댓글 문제를 자율적 규제로 해결할지 제도적 규제가 필요한지(표현의 자유 vs 피해 방지)|CURRICULUM:10통사1-05-02 성취기준:정보화에 따른 문제점과 해결 방안|N||L||정보화로 나타난 사회문제의 해결 방식 비교가 정답 논리로 성취기준과 직접 대응.|2015_JUNE_Q07 그림 배치 판독|V3_KEEP
2022_CSAT_Q13,2022_SEPTEMBER_Q20,2025_SEPTEMBER_Q14|K|NONE|뉴미디어 확산에 따른 허위·유해 정보 문제를 정보의 비판적 수용(미디어 리터러시)과 책임 있는 이용으로 해결|CURRICULUM:10통사1-05-02 성취기준:교통·통신 발달에 따른 생활양식 변화와 문제점의 해결 방안|N||L||정보화의 새로운 사회문제와 해결 방안이 정답 논리.|미디어 리터러시 용어는 공식 문구에 없음|V3_KEEP
2020_CSAT_Q13,2023_JUNE_Q16|K|NONE|정보 통신 기술이 감시(빅브라더·판옵티콘) 위험과 함께 전자 민주주의(시민 정치 참여 확대) 가능성을 가져온다|CURRICULUM:10통사1-05-02:정보화에 따른 생활양식 변화와 문제;;CURRICULUM:10통사2-01-02 해설:시민 참여의 다양한 방안|N||L||정보화에 따른 변화와 시민 참여 방안이 정답 논리.||V3_KEEP
2023_JUNE_Q14|K|NONE|인공지능의 혐오·차별 표현 문제를 도덕적 검증을 거친 학습 데이터로 해결|CURRICULUM:10통사1-05-02 해설:제4차 산업 혁명으로 나타나는 새로운 사회문제와 해결 방안|N||L||과학기술(인공지능) 발달로 생긴 사회문제의 해결 방안이 정답 논리.|인공지능 윤리 소재|V3_KEEP
2025_CSAT_Q07|K|NONE|인공지능 기술이 일자리를 줄여도 최소한의 인간 노동은 필요하다는 반론 근거 선택|CURRICULUM:10통사1-05-02 해설:제4차 산업 혁명에 따른 노동시장의 양극화 등 새로운 사회문제|N||L||노동시장 변화라는 해설 명시 문제를 다룸.|논증 구조 도식|V3_KEEP
2020_JUNE_Q11|D|NONE|위급 상황에서 인공지능과 인간 중 누가 자율 주행차 운전 판단을 할지(사회 전체 이익 vs 개인 자율성)|CURRICULUM:10통사1-05-02:과학기술 발달(소재 수준)|Y|인공지능의 도덕적 판단 주체성·자율성 대 공리 논쟁|S|ANSWER_LOGIC_OUTSIDE_SCOPE;TOPIC_OVERLAP_ONLY|과학기술 소재이나 정답이 AI 판단 주체라는 기술 윤리 쟁점으로 결정되며 공식 자료의 '새로운 사회문제와 해결 방안'과 다름.||V3_KEEP
2015_CSAT_Q02,2016_SEPTEMBER_Q09|D|NONE|정보를 사유 재산(지적 재산권 보호)으로 보는지 공유 자산으로 보는지에 따른 입장 구분|CURRICULUM:10통사1-05-02:정보 격차(부수 요소)|Y|정보 소유권 논쟁(카피라이트 vs 카피레프트)|S|NO_OFFICIAL_CURRICULUM_SUPPORT;ANSWER_LOGIC_OUTSIDE_SCOPE|정보 격차가 일부 축으로 등장하지만 정답은 정보 소유권 관점 분류로 결정되며 지적 재산권 논쟁은 공식 자료에 없음.||V3_KEEP
2014_SEPTEMBER_Q13,2015_CSAT_Q09,2015_SEPTEMBER_Q02,2016_CSAT_Q02,2016_SEPTEMBER_Q14,2020_SEPTEMBER_Q16|K|NONE|기업의 사회적 책임 범위(이윤 극대화·법 준수에 한정 vs 적극적 책임·이해관계자 고려) 비교|CURRICULUM:10통사2-03-02 해설:기업의 사회적 책임|N||N||'기업의 사회적 책임'이 해설에 명시되고 정답이 그 범위 비교로 결정됨.||V3_KEEP
2017_SEPTEMBER_Q11|K|NONE|부정적 외부 효과(시장 실패)에 대해 기업이 이윤이 줄더라도 사회적 책임을 져야 한다|CURRICULUM:10통사2-03-02 해설:합리적 선택의 한계로 나타나는 시장 실패, 기업의 사회적 책임|N||N||시장 실패와 기업의 사회적 책임 모두 해설 명시.||V3_KEEP
2016_JUNE_Q10|K|NONE|시장경제에서 연고주의 같은 비합리적 관행을 타파하고 공정 경쟁을 통한 합리적 이윤 추구를 보장해야 한다|CURRICULUM:10통사2-03-02 성취기준:합리적 선택의 의미;;CURRICULUM:10통사2-03-01:시장경제 체제|N||L||시장경제에서의 합리적 선택·공정 경쟁이 정답 논리.||V3_KEEP
2017_CSAT_Q09,2020_CSAT_Q11,2020_JUNE_Q20|K|NONE|합리적 소비(비용 대비 만족) vs 윤리적 소비(노동자 권리·환경·미래 세대 고려) 구분|CURRICULUM:10통사2-03-02 해설:합리적 선택, 윤리적 소비|N||N||합리적 선택과 윤리적 소비가 해설에 명시됨.||V3_KEEP
2019_JUNE_Q19,2025_SEPTEMBER_Q04,2021_SEPTEMBER_Q09,2024_CSAT_Q05|K|NONE|패스트패션·공정 여행·SNS 광고 사례에서 기업의 사회적 책임, 윤리적 소비, 정부 규제의 범위 판단|CURRICULUM:10통사2-03-02 해설:정부의 역할, 기업의 사회적 책임, 윤리적 소비, 지속가능발전|N||L||경제 주체의 역할과 책임(정부 규제·기업 책임·윤리적 소비)이 정답 논리.||V3_KEEP
2017_JUNE_Q13,2018_JUNE_Q09,2025_SEPTEMBER_Q07,2026_CSAT_Q02|K|NONE|적극적 우대 정책(보상적 정의·실질적 평등 vs 역차별·업적주의) 찬반 논거 판단|CURRICULUM:10통사2-02-03 해설:적극적 평등 실현 조치;;KICE_SAMPLE:28예시 Q13:적극적 평등 실현 조치 도출(해설)|N||N||적극적 평등 실현 조치가 해설과 28예시 Q13 공식 해설에 명시됨.||V3_KEEP
2018_SEPTEMBER_Q06|K|NONE|지역 할당제에 대한 공정한 기회(우연적 요인 교정)·능력 기준·사회 전체 이익 관점 비교|CURRICULUM:10통사2-02-03 해설:지역 격차 완화 정책, 적극적 평등 실현 조치;;CURRICULUM:10통사2-02-01 해설:분배적 정의의 실질적 기준(업적·능력·필요)|N||N||분배 기준과 적극적 평등 실현 조치가 정답 논리.||V3_KEEP
2018_CSAT_Q20|K|NONE|인권을 자유권·참정권에 한정할지 사회권(복지권)까지 포함할지|CURRICULUM:10통사2-01-01:인권의 의미와 변화(확장) 양상|N||N||인권 의미의 확장이 성취기준 명시 내용.||V3_KEEP
2017_CSAT_Q07,2020_JUNE_Q18|K|OTHER_NAMED|성별에 따른 차별은 부당하며 여성의 기본권·직업 선택 기회를 보장해야 한다|CURRICULUM:10통사2-01-03 해설:성별 등을 이유로 차별받는 사회적 소수자|N||L||정답이 성차별 부당성과 해소로 결정되며 밀 사상 세부는 불필요.|밀 제시문|V3_KEEP
2014_CSAT_Q18,2014_JUNE_Q15,2014_SEPTEMBER_Q18|K|NONE|혈통·언어 등 특수한 민족 중심 입장과 인류 보편 가치에 근거한 개방적·세계시민적 입장 구분|CURRICULUM:10통사2-04-01 해설:세계화에 따른 보편 윤리와 특수 윤리 간 갈등;;CURRICULUM:10통사2-04-02 해설:세계시민의 역할|N||L||세계화 시대 특수 윤리(민족 중심) vs 보편 윤리(세계시민) 갈등이 정답 논리로 2-04-01 해설 문구와 일치.|'민족의 객관적 요소' 등 민족 정체성 용어는 공식 문구에 없음|V3_KEEP
2016_JUNE_Q09|K|OTHER_NAMED|글로벌 위험은 인류 전체를 위협하므로 세계시민적 공동체 의식과 인류 공존 노력을 요구한다|CURRICULUM:10통사2-04-02 해설·고려 사항:세계시민의 역할, 국제 사회의 협력;;CURRICULUM:10통사2-05-03:세계시민으로서 미래 삶의 방향|N||L||세계 문제 해결을 위한 세계시민 역할이 정답 논리이며 벡의 위험사회론 세부는 불필요.|벡 제시문|V3_KEEP
2015_CSAT_Q13,2015_JUNE_Q09,2019_CSAT_Q20,2019_JUNE_Q07,2020_CSAT_Q08,2020_JUNE_Q16,2021_CSAT_Q18,2021_SEPTEMBER_Q11,2023_CSAT_Q08,2024_JUNE_Q17,2025_JUNE_Q13|K|NONE|다문화 사회의 통합 방식: 주류 문화로 동화(용광로·국수 대접) vs 다양한 문화의 대등한 공존(샐러드 볼)|CURRICULUM:10통사1-04-04:다문화 사회와 문화적 다양성 존중;;CURRICULUM:10통사1-04-02 해설:문화 병존·문화 융합·문화 동화|N||N||다문화 사회 갈등 해결 방식과 문화 변동 양상이 공식 명시 내용으로 정답을 결정.||V3_KEEP
2018_SEPTEMBER_Q20|K|NONE|관용은 필요하지만 보편적 가치(자녀의 기본권)를 침해하는 문화는 용인할 수 없다|CURRICULUM:10통사1-04-03 해설:문화 상대주의가 극단으로 흐르지 않도록 보편 윤리 차원에서 타문화 평가|N||N||보편 윤리에 근거한 타문화 평가가 정답 논리로 해설과 직접 일치.||V3_KEEP
2023_JUNE_Q17|K|OTHER_NAMED|불관용적 문화에는 관용하지 않을 수 있고 자문화 비판에 열린 태도가 필요하다(극단적 상대주의 부정)|CURRICULUM:10통사1-04-03:문화 상대주의와 보편 윤리, 자문화와 타문화 평가|N||L||보편 윤리 차원의 자문화·타문화 평가와 극단적 상대주의 경계가 정답 논리이며 포퍼의 관용 역설 세부는 불필요.|포퍼 제시문|V3_KEEP
2022_SEPTEMBER_Q16|K|CONFUCIUS|낯선 타문화를 이해·존중하며 조화롭게 지내되 선악 분별 없는 무조건 포용(극단적 상대주의)은 아니다|CURRICULUM:10통사1-04-03:문화 상대주의적 태도와 보편 윤리;;CURRICULUM:10통사1-04-04:문화적 다양성 존중|N||L||정답(타문화 이해·조화)과 오답(동화 설득·자문화 우월·무분별 포용)이 공식 문화 상대주의/보편 윤리 개념으로 판별되며 군자·소인론 해석은 필요하지 않음.|공자 화이부동 제시문|V3_KEEP
2014_JUNE_Q02,2017_CSAT_Q16,2023_SEPTEMBER_Q05,2024_CSAT_Q20,2025_SEPTEMBER_Q03,2027_SEPTEMBER_Q20|D|KUNG|종교 간 대화 없이는 종교 평화도 국가 간 평화도 없으며 진리와 비진리의 경계가 자기 종교 안에도 있다는 한스 큉의 종교 다원·대화론|CURRICULUM:10통사1-04-01 해설:문화권 형성 요인으로서의 종교(소재 수준)|Y|종교 간 대화·세계 윤리·종교적 진리의 부분성에 관한 종교 철학|S|NO_OFFICIAL_CURRICULUM_SUPPORT;TOPIC_OVERLAP_ONLY;PHILOSOPHER_SPECIFIC_CONTENT|[별책7]에서 종교는 문화권 형성의 인문환경 요인으로만 등장하고 종교 간 대화·종교 다원주의는 성취기준·해설·28예시 어디에도 없음. 제시문만으로 풀리더라도 정답 명제가 공식 통사 내용이 아님.||V3_KEEP
2019_SEPTEMBER_Q16|D|OTHER_NAMED|참된 종교는 내적 확신에 기초하므로 종교적 박해는 불합리하다는 로크의 종교적 관용론|CURRICULUM:10통사1-04-01:종교(문화권 요인, 소재 수준)|Y|로크 종교적 관용론(정교 분리·내적 확신)|S|NO_OFFICIAL_CURRICULUM_SUPPORT;TOPIC_OVERLAP_ONLY;PHILOSOPHER_SPECIFIC_CONTENT|종교적 관용의 철학적 근거는 공식 자료에 없고 문화 다양성과 주제만 겹침.||V3_KEEP
2017_SEPTEMBER_Q12|D|OTHER_NAMED|집단별 차별화된 권리를 인정하는 다문화주의에 대한 비판(문화 경계 영속화·법 앞의 평등 훼손) 논리|CURRICULUM:10통사1-04-04:다문화 사회(소재 수준)|Y|집단 차별적 권리 다문화주의(킴리카)와 그 비판(배리) 정치철학|S|PHILOSOPHER_SPECIFIC_CONTENT;ANSWER_LOGIC_OUTSIDE_SCOPE|다문화 소재이나 정답이 집단 차별적 권리 이론 논쟁으로 결정되며 공식 1-04-04의 문화 다양성 존중·갈등 해결과 다름.||V3_KEEP
2026_JUNE_Q11|D|OTHER_NAMED|그른 의견도 진리 발견에 기여하므로 인터넷 표현의 자유를 억압해서는 안 된다는 밀의 사상의 자유 논증|CURRICULUM:10통사1-05-02:인터넷(소재 수준)|Y|밀 『자유론』의 진리 논증|S|PHILOSOPHER_SPECIFIC_CONTENT;ANSWER_LOGIC_OUTSIDE_SCOPE|인터넷 표현의 자유 소재이나 정답이 밀의 진리 발견 논증으로 결정되며 공식 자료에 해당 논증이 없음.||V3_KEEP
2019_CSAT_Q02|D|OTHER_NAMED|공동체주의가 공리주의(질적 쾌락·유용성)에 제기할 반론으로 '유용성 계산보다 공동체 전통이 중요'를 선택|CURRICULUM:10통사2-02-02 해설:공동체주의적 정의관(일부)|N|공리주의(밀 질적 쾌락주의) 입장 식별과 두 이론 간 반론 방향|S|PHILOSOPHER_SPECIFIC_CONTENT;ANSWER_LOGIC_OUTSIDE_SCOPE|공식 2-02-02는 자유주의 vs 공동체주의 비교이며 반론 대상인 공리주의 이론 판별이 정답에 필수라 공식 비교 쌍과 다름.|공동체주의 측은 공식 개념|V3_KEEP
2024_JUNE_Q03,2025_JUNE_Q04|K|OTHER_NAMED|개인의 도덕적 정체성과 덕의 실천은 공동체와 그 전통·공유된 가치 속에서 형성된다(공동체주의)|CURRICULUM:10통사2-02-02 해설:공동체주의적 정의관, 개인과 공동체의 관계, 공동선|N||L||공동체주의 관점이 성취기준·해설 명시 내용이며 정답이 그 관점으로 결정됨.|매킨타이어 제시문;2024_JUNE_Q03 보기 ㄷ(덕 윤리 행위자 중심) 조정 필요|V3_KEEP
2015_SEPTEMBER_Q19|K|RAWLS_NOZICK|노직은 개인 권리를 침해하는 재분배 정책에 반대하고 롤스는 사회적 우연성에 따른 불평등 완화로 지지한다|CURRICULUM:10통사2-02-02:정의관을 사례(정책)에 적용;;KICE_SAMPLE:28예시 Q15:노직 소유권리론·롤스 우연성 무지|N||N||28예시 Q15의 롤스·노직 핵심 논리를 정책에 적용하는 구조로 직접 일치.||V3_KEEP
2014_SEPTEMBER_Q11|K|RAWLS_NOZICK|무지의 베일 속 당사자는 자신이 처할 최악의 경우를 고려해 분배 방식을 선택한다|KICE_SAMPLE:28예시 Q15:원초적 입장·우연적 조건에 대한 무지·가장 불리한 상황 고려|N||N||Q15에서 실제로 평가한 원초적 입장 논리와 일치.||V3_KEEP
2016_CSAT_Q14,2017_JUNE_Q11|K|RAWLS_NOZICK|노직 소유권리론: 정당한 취득·자발적 이전·교정 원리에 따른 소유 권리와 최소국가|KICE_SAMPLE:28예시 Q15:노직 취득·이전·교정의 원리, 절차 기반 정당성|N||L||Q15에서 평가한 노직 핵심 원리로 정답 결정.||V3_KEEP
2027_SEPTEMBER_Q19|K|RAWLS_NOZICK|롤스는 사회 전체 복지 증대 분배 정책도 부정의할 수 있다고 본다(공리주의 비판), 노직은 최소국가|KICE_SAMPLE:28예시 Q15:롤스·노직 비교, 공리주의 비판|N||L||Q15 비교 구조와 핵심 논리로 정답 결정.|오답 선지 원초적 입장 세부|V3_KEEP
2014_JUNE_Q08|K|PUNISHMENT|처벌은 범죄를 저질렀다는 이유만으로 평등(동등성)의 원리에 따라야 하므로 범죄에 상응하는 처벌로서 사형을 존치한다(응보주의)|KICE_SAMPLE:28예시 Q16:칸트 응보주의(동등성·살인에 대한 사형);;CURRICULUM:10통사2-02-01 해설:교정적 정의|N||L||28예시 Q16이 칸트 응보주의의 사형 논리를 직접 평가하며 정답이 동일 논리로 결정됨.|사형제 소재;Q16 수준 유지 필요|V3_KEEP
2018_CSAT_Q03,2018_SEPTEMBER_Q08,2019_CSAT_Q18,2020_JUNE_Q12,2020_CSAT_Q18,2022_CSAT_Q03,2022_JUNE_Q16,2027_SEPTEMBER_Q09|K|CIVIL_DISOBEDIENCE|시민 불복종의 요건과 정당화(공공성·비폭력·위법성·처벌 감수·공유된 정의관·거의 정의로운 사회·모든 부정의가 대상은 아님)|CURRICULUM:10통사2-01-02 해설:시민불복종을 비롯한 시민 참여;;KICE_SAMPLE:28예시 Q14:공유된 정의관·거의 정의로운 사회·공개적 비폭력·처벌 감수|N||N||공식 해설이 시민불복종을 명시하고 28예시 Q14가 같은 정당화 논리를 평가함.||V3_KEEP
2019_SEPTEMBER_Q19|K|CIVIL_DISOBEDIENCE|완전한 절차가 없으므로 부정의한 법에도 따를 의무가 있으나 심각한 부정의에 대해서는 시민 불복종을 고려(모든 부정의가 대상은 아님)|CURRICULUM:10통사2-01-02 해설:시민불복종;;KICE_SAMPLE:28예시 Q14:모든 부정의한 법이 대상은 아님·법 준수 의무|N||L||Q14 핵심 논리로 정답 결정.|보기 ㄹ 표현|V3_KEEP
2021_JUNE_Q11,2021_CSAT_Q12,2022_SEPTEMBER_Q17,2023_CSAT_Q14,2023_JUNE_Q12,2023_SEPTEMBER_Q08,2024_JUNE_Q05|K|CIVIL_DISOBEDIENCE|시민 불복종 정당화 근거 비교: 공유된 정의관에 호소(롤스) vs 결과(이익·해악, 법 존중 감소)의 저울질(싱어), 대상·주체·법치 존중|CURRICULUM:10통사2-01-02 해설:시민불복종을 비롯한 시민 참여;;KICE_SAMPLE:28예시 Q14:시민 불복종의 구체적 정당화 논리(공유된 정의관·대상·방식)|N||L||[정책 갱신] 시민 불복종은 공식 명시 + Q14 정당화 논리 평가 → 갑/을 비교형도 통사 시민 불복종 문항 제작에 직접 활용 가능한 실질 내용(정당화 근거·대상·결과 고려)으로 KEEP.|정책 갱신에 따른 복원;싱어 결과주의 정당화 포함|RESTORE_CD_POLICY
2019_JUNE_Q16,2020_SEPTEMBER_Q07,2017_CSAT_Q08,2018_JUNE_Q12,2017_JUNE_Q16|K|CIVIL_DISOBEDIENCE|시민 불복종 정당화 근거 비교: 개인 양심·정의 존중 우선(소로) vs 공유된 정의관·체제 합법성 인정·처벌 감수(롤스)|CURRICULUM:10통사2-01-02 해설:시민불복종을 비롯한 시민 참여;;KICE_SAMPLE:28예시 Q14:공유된 정의관·체제 인정·공개적 비폭력|N||L||[정책 갱신] 양심 vs 공유된 정의관이라는 정당화 근거 대비가 핵심으로 시민 불복종 실질 내용이 충분.|정책 갱신에 따른 복원;소로 양심론 포함;2017_JUNE_Q16은 롤스 대상 원칙(기회균등) 세부 포함|RESTORE_CD_POLICY
2025_JUNE_Q14,2027_JUNE_Q11|K|CIVIL_DISOBEDIENCE|롤스·싱어(·소로)의 시민 불복종 대상·결과 고려·양심 근거 비교|CURRICULUM:10통사2-01-02 해설:시민불복종;;KICE_SAMPLE:28예시 Q14:시민 불복종 정당화 논리|N||L||[정책 갱신] 복수 사상가 비교이나 모든 선지가 시민 불복종의 대상·정당화·양심 문제를 다뤄 실질 내용 충분.|정책 갱신에 따른 복원;Phase 1 OCR 검토 문항|RESTORE_CD_POLICY
2021_SEPTEMBER_Q07,2026_JUNE_Q06,2024_CSAT_Q09,2024_SEPTEMBER_Q07,2025_CSAT_Q18,2026_CSAT_Q09,2025_SEPTEMBER_Q12|K|CIVIL_DISOBEDIENCE|롤스 시민 불복종의 대상(기본적 자유 침해)·성격(법에 대한 충실성 한계 내 위법, 공공적 정의관 근거)·체제 안정성과의 관계|CURRICULUM:10통사2-01-02 해설:시민불복종;;KICE_SAMPLE:28예시 Q14:기본적 자유를 방어할 권리와 준법 의무·공유된 정의관·체제 인정|N||L||[정책 갱신] 롤스 단독 문항으로 Q14보다 일부 세부가 있으나 쟁점이 시민 불복종 대상·근거·성격 자체라 실질 내용이 충분.|정책 갱신에 따른 복원;Q14보다 깊은 롤스 세부(직접·간접 불복종·차등 원칙 대상·양심적 거부 등) 포함;2025_SEPTEMBER_Q12 Phase 1 OCR 검토 문항|RESTORE_CD_POLICY
