# LIFE_ETHICS V4 targeted false-negative recovery (human semantic judgments on candidates found via existing metadata/keywords; keywords never decide)
# fields: short_id|R(RESTORE)/D(REMAIN_DROP)|target_area|philosophers(;)|evidence_profile|reuse_scope F/P/-|core_content|usable_content|rationale|review_reasons(;)|search_round(1=initial targeted,2=coverage-gap search)
2016_CSAT_Q15|R|ENVIRONMENT|칸트;레오폴드;테일러|ENV_CORE|F|칸트 간접적 의무(인간 중심) vs 레오폴드 대지 윤리(생태 중심) vs 테일러 생명 중심|인간 중심·생태 중심 판단 질문(생명 공동체의 온전함, 무생물 포함 여부)|인간 중심 vs 생태 중심 비교가 핵심으로 1-03-02·Q4에 직접 대응.||1
2016_JUNE_Q01|D|ENVIRONMENT|-|D_OFFTOPIC|-|기술 윤리학의 성격(윤리학 분류)|-|'생태계' 키워드 오탐. 윤리학 분류로 통합사회 자료와 무관.||1
2016_JUNE_Q03|R|ENVIRONMENT|싱어;레건;테일러|ENV_SPECTRUM|P|동물 중심(싱어·레건)과 생명 중심(테일러)의 도덕적 고려 범위 비교|도덕적 고려 대상을 인간 너머로 확장하는 관점들의 제시문·선지|탈인간 중심 관점들의 고려 범위 비교는 1-03-02 '자연에 대한 인간의 다양한 관점' 비교 원천. 인간 중심 vs 생태 중심 양극은 아니므로 PARTIAL.|생태 중심 관점 부재|1
2018_JUNE_Q15|R|ENVIRONMENT|싱어;레건;테일러|ENV_SPECTRUM|P|동물 중심(싱어·레건)과 생명 중심(테일러)의 도덕적 고려 범위 비교|도덕적 고려 대상을 인간 너머로 확장하는 관점들의 제시문·선지|탈인간 중심 관점들의 고려 범위 비교는 1-03-02 '자연에 대한 인간의 다양한 관점' 비교 원천. 인간 중심 vs 생태 중심 양극은 아니므로 PARTIAL.|생태 중심 관점 부재|1
2016_JUNE_Q04|R|ENVIRONMENT|불교|ENV_EAST|P|불교의 연기적 자연관(모든 것은 인연에 따른 관계의 그물)|동양(불교) 자연관 정의 선지와 도구적 자연관·이성 지배 자연관 오답|1-03-02는 '자연에 대한 인간의 다양한 관점'을 비교하도록 하며 불교 자연관은 관계적·비인간 중심 관점의 원천. 공식 문구는 인간·생태 중심 중심이므로 PARTIAL.|동양 자연관은 공식 문구에 명시 없음|1
2016_SEPTEMBER_Q10|R|ENVIRONMENT|레건;패스모어;칸트;레오폴드|ENV_CORE|F|인간 중심(인간에게 해가 되므로 보호/인간 자신에 대한 의무) vs 동물 권리 vs 대지 윤리(생태 중심)|인간 중심·생태 중심 공통/차이 판단 보기|인간 중심 vs 생태 중심 비교가 핵심으로 Q4·1-03-02와 직접 대응.||1
2019_CSAT_Q09|R|ENVIRONMENT|레건;패스모어;칸트;레오폴드|ENV_CORE|F|인간 중심(인간에게 해가 되므로 보호/인간 자신에 대한 의무) vs 동물 권리 vs 대지 윤리(생태 중심)|인간 중심·생태 중심 공통/차이 판단 보기|인간 중심 vs 생태 중심 비교가 핵심으로 Q4·1-03-02와 직접 대응.||1
2017_CSAT_Q03|D|ENVIRONMENT|-|D_BIOETHICS|-|동물 복제의 허용 여부 논증(종 다양성)|-|생명 윤리(동물 복제) 논증 구조 문항으로 통합사회 자연관·환경 문제 해결과 실질적 연결이 약함.||1
2017_CSAT_Q15|R|ENVIRONMENT|테일러;레건;레오폴드;데카르트|ENV_SPECTRUM|P|생명 중심·동물 권리·대지 윤리(또는 데카르트 기계론) 비교|도덕적 고려 대상 범위(인간 한정 여부·무생물 포함)의 비교 보기|자연관 비교 원천(1-03-02). 탈인간 중심 내부 비교 비중이 커서 PARTIAL.||1
2017_SEPTEMBER_Q10|R|ENVIRONMENT|테일러;레건;레오폴드;데카르트|ENV_SPECTRUM|P|생명 중심·동물 권리·대지 윤리(또는 데카르트 기계론) 비교|도덕적 고려 대상 범위(인간 한정 여부·무생물 포함)의 비교 보기|자연관 비교 원천(1-03-02). 탈인간 중심 내부 비교 비중이 커서 PARTIAL.||1
2017_JUNE_Q07|R|ENVIRONMENT|레건;칸트;베이컨|ENV_CORE|F|베이컨의 자연 지배(인간 중심) vs 칸트 간접적 의무 vs 레건 동물 권리|자연을 인간의 이익에 봉사시키는 관점과 비인간 존재의 권리 비교|28예시 Q4의 베이컨 제시문과 사실상 같은 인간 중심주의 원천이 포함됨.||1
2018_CSAT_Q11|R|ENVIRONMENT|싱어;테일러;레오폴드;아퀴나스|ENV_CORE|F|동물 중심·생명 중심과 레오폴드 대지 윤리(인간은 대지 공동체의 평범한 구성원) 비교|'인간 중심주의에서 벗어나야 한다', '생명 공동체 자체의 선' 등 생태 중심 보기|28예시 Q4의 레오폴드 '정복자가 아닌 구성원' 논리가 직접 포함.||1
2018_SEPTEMBER_Q09|R|ENVIRONMENT|싱어;테일러;레오폴드;아퀴나스|ENV_CORE|F|동물 중심·생명 중심과 레오폴드 대지 윤리(인간은 대지 공동체의 평범한 구성원) 비교|'인간 중심주의에서 벗어나야 한다', '생명 공동체 자체의 선' 등 생태 중심 보기|28예시 Q4의 레오폴드 '정복자가 아닌 구성원' 논리가 직접 포함.||1
2018_CSAT_Q19|D|ENVIRONMENT|-|D_BIOETHICS|-|동물 실험의 정당성 논쟁(동물의 기본적 권리)|-|동물 실험 생명 윤리 토론으로 통합사회 자연관 비교·환경 문제와의 연결이 명목적.||1
2018_SEPTEMBER_Q10|D|ENVIRONMENT|로크|D_OFFTOPIC|-|로크 노동 소유론의 지적 재산권 적용|-|'대지' 키워드 오탐. 정보 소유권 문제로 통합사회 자료의 근거 없음.||1
2018_SEPTEMBER_Q16|R|ENVIRONMENT|요나스|ENV_SUSTAIN|P|공포의 발견술과 미래 세대·생태계에 대한 예방적 책임|생태계 전체에 대한 예방적 책임 선지|생태시민의 실천(1-03-03)과 미래 세대의 지속가능한 삶(2-05)에 쓸 원천. 요나스 책임 윤리 세부는 PARTIAL.|책임 윤리 세부|1
2019_JUNE_Q09|R|ENVIRONMENT|칸트;데카르트;싱어;레건;테일러;레오폴드|ENV_CORE|F|인간 중심 자연관(칸트 간접적 의무·데카르트 기계론)과 레오폴드 대지 윤리(생태 중심, 인간은 대지 공동체의 구성원) 및 동물·생명 중심 관점 비교|인간 중심 vs 생태 중심 공통/차이 보기, 대지 공동체·경제적 관점 넘어선 대지 이용, 도덕적 지위 범위|28예시 Q4와 같은 '인간 중심 사상가 vs 레오폴드' 비교가 핵심으로 포함되어 1-03-02 자연관 비교의 직접 원천.||1
2020_JUNE_Q06|R|ENVIRONMENT|칸트;데카르트;싱어;레건;테일러;레오폴드|ENV_CORE|F|인간 중심 자연관(칸트 간접적 의무·데카르트 기계론)과 레오폴드 대지 윤리(생태 중심, 인간은 대지 공동체의 구성원) 및 동물·생명 중심 관점 비교|인간 중심 vs 생태 중심 공통/차이 보기, 대지 공동체·경제적 관점 넘어선 대지 이용, 도덕적 지위 범위|28예시 Q4와 같은 '인간 중심 사상가 vs 레오폴드' 비교가 핵심으로 포함되어 1-03-02 자연관 비교의 직접 원천.||1
2021_CSAT_Q15|R|ENVIRONMENT|칸트;데카르트;싱어;레건;테일러;레오폴드|ENV_CORE|F|인간 중심 자연관(칸트 간접적 의무·데카르트 기계론)과 레오폴드 대지 윤리(생태 중심, 인간은 대지 공동체의 구성원) 및 동물·생명 중심 관점 비교|인간 중심 vs 생태 중심 공통/차이 보기, 대지 공동체·경제적 관점 넘어선 대지 이용, 도덕적 지위 범위|28예시 Q4와 같은 '인간 중심 사상가 vs 레오폴드' 비교가 핵심으로 포함되어 1-03-02 자연관 비교의 직접 원천.||1
2021_SEPTEMBER_Q10|R|ENVIRONMENT|칸트;데카르트;싱어;레건;테일러;레오폴드|ENV_CORE|F|인간 중심 자연관(칸트 간접적 의무·데카르트 기계론)과 레오폴드 대지 윤리(생태 중심, 인간은 대지 공동체의 구성원) 및 동물·생명 중심 관점 비교|인간 중심 vs 생태 중심 공통/차이 보기, 대지 공동체·경제적 관점 넘어선 대지 이용, 도덕적 지위 범위|28예시 Q4와 같은 '인간 중심 사상가 vs 레오폴드' 비교가 핵심으로 포함되어 1-03-02 자연관 비교의 직접 원천.||1
2022_JUNE_Q10|R|ENVIRONMENT|칸트;데카르트;싱어;레건;테일러;레오폴드|ENV_CORE|F|인간 중심 자연관(칸트 간접적 의무·데카르트 기계론)과 레오폴드 대지 윤리(생태 중심, 인간은 대지 공동체의 구성원) 및 동물·생명 중심 관점 비교|인간 중심 vs 생태 중심 공통/차이 보기, 대지 공동체·경제적 관점 넘어선 대지 이용, 도덕적 지위 범위|28예시 Q4와 같은 '인간 중심 사상가 vs 레오폴드' 비교가 핵심으로 포함되어 1-03-02 자연관 비교의 직접 원천.||1
2022_SEPTEMBER_Q15|R|ENVIRONMENT|칸트;데카르트;싱어;레건;테일러;레오폴드|ENV_CORE|F|인간 중심 자연관(칸트 간접적 의무·데카르트 기계론)과 레오폴드 대지 윤리(생태 중심, 인간은 대지 공동체의 구성원) 및 동물·생명 중심 관점 비교|인간 중심 vs 생태 중심 공통/차이 보기, 대지 공동체·경제적 관점 넘어선 대지 이용, 도덕적 지위 범위|28예시 Q4와 같은 '인간 중심 사상가 vs 레오폴드' 비교가 핵심으로 포함되어 1-03-02 자연관 비교의 직접 원천.||1
2023_JUNE_Q19|R|ENVIRONMENT|칸트;데카르트;싱어;레건;테일러;레오폴드|ENV_CORE|F|인간 중심 자연관(칸트 간접적 의무·데카르트 기계론)과 레오폴드 대지 윤리(생태 중심, 인간은 대지 공동체의 구성원) 및 동물·생명 중심 관점 비교|인간 중심 vs 생태 중심 공통/차이 보기, 대지 공동체·경제적 관점 넘어선 대지 이용, 도덕적 지위 범위|28예시 Q4와 같은 '인간 중심 사상가 vs 레오폴드' 비교가 핵심으로 포함되어 1-03-02 자연관 비교의 직접 원천.||1
2024_CSAT_Q15|R|ENVIRONMENT|칸트;데카르트;싱어;레건;테일러;레오폴드|ENV_CORE|F|인간 중심 자연관(칸트 간접적 의무·데카르트 기계론)과 레오폴드 대지 윤리(생태 중심, 인간은 대지 공동체의 구성원) 및 동물·생명 중심 관점 비교|인간 중심 vs 생태 중심 공통/차이 보기, 대지 공동체·경제적 관점 넘어선 대지 이용, 도덕적 지위 범위|28예시 Q4와 같은 '인간 중심 사상가 vs 레오폴드' 비교가 핵심으로 포함되어 1-03-02 자연관 비교의 직접 원천.||1
2024_JUNE_Q15|R|ENVIRONMENT|칸트;데카르트;싱어;레건;테일러;레오폴드|ENV_CORE|F|인간 중심 자연관(칸트 간접적 의무·데카르트 기계론)과 레오폴드 대지 윤리(생태 중심, 인간은 대지 공동체의 구성원) 및 동물·생명 중심 관점 비교|인간 중심 vs 생태 중심 공통/차이 보기, 대지 공동체·경제적 관점 넘어선 대지 이용, 도덕적 지위 범위|28예시 Q4와 같은 '인간 중심 사상가 vs 레오폴드' 비교가 핵심으로 포함되어 1-03-02 자연관 비교의 직접 원천.||1
2025_CSAT_Q09|R|ENVIRONMENT|칸트;데카르트;싱어;레건;테일러;레오폴드|ENV_CORE|F|인간 중심 자연관(칸트 간접적 의무·데카르트 기계론)과 레오폴드 대지 윤리(생태 중심, 인간은 대지 공동체의 구성원) 및 동물·생명 중심 관점 비교|인간 중심 vs 생태 중심 공통/차이 보기, 대지 공동체·경제적 관점 넘어선 대지 이용, 도덕적 지위 범위|28예시 Q4와 같은 '인간 중심 사상가 vs 레오폴드' 비교가 핵심으로 포함되어 1-03-02 자연관 비교의 직접 원천.||1
2019_SEPTEMBER_Q12|R|ENVIRONMENT|칸트;테일러;레건;싱어|ENV_SPECTRUM|P|칸트의 인간 중심 간접적 의무론과 동물 권리·생명 중심 관점의 도덕적 고려 범위 비교|인간 중심 vs 탈인간 중심(내재적 가치·삶의 주체·목적론적 삶의 중심) 대비 보기|인간 중심 대 비인간 중심 비교가 1-03-02 원천. 생태 중심(레오폴드)은 없어 PARTIAL.||1
2020_CSAT_Q16|R|ENVIRONMENT|칸트;테일러;레건;싱어|ENV_SPECTRUM|P|칸트의 인간 중심 간접적 의무론과 동물 권리·생명 중심 관점의 도덕적 고려 범위 비교|인간 중심 vs 탈인간 중심(내재적 가치·삶의 주체·목적론적 삶의 중심) 대비 보기|인간 중심 대 비인간 중심 비교가 1-03-02 원천. 생태 중심(레오폴드)은 없어 PARTIAL.||1
2022_CSAT_Q14|R|ENVIRONMENT|칸트;테일러;레건;싱어|ENV_SPECTRUM|P|칸트의 인간 중심 간접적 의무론과 동물 권리·생명 중심 관점의 도덕적 고려 범위 비교|인간 중심 vs 탈인간 중심(내재적 가치·삶의 주체·목적론적 삶의 중심) 대비 보기|인간 중심 대 비인간 중심 비교가 1-03-02 원천. 생태 중심(레오폴드)은 없어 PARTIAL.||1
2023_CSAT_Q10|R|ENVIRONMENT|칸트;테일러;레건;싱어|ENV_SPECTRUM|P|칸트의 인간 중심 간접적 의무론과 동물 권리·생명 중심 관점의 도덕적 고려 범위 비교|인간 중심 vs 탈인간 중심(내재적 가치·삶의 주체·목적론적 삶의 중심) 대비 보기|인간 중심 대 비인간 중심 비교가 1-03-02 원천. 생태 중심(레오폴드)은 없어 PARTIAL.||1
2020_SEPTEMBER_Q10|R|ENVIRONMENT|레오폴드;레건;테일러;싱어|ENV_SPECTRUM|P|레오폴드 대지 윤리(전체론적 생태 중심)와 동물·생명 중심(개체론) 비교|생태 중심 관점(정복자에서 구성원으로, 생명 공동체의 선)과 개체론적 관점 대비|레오폴드 생태 중심 원천(28예시 Q4 을 제시문과 같은 논리)이 포함. 인간 중심 측이 없어 PARTIAL.||1
2023_SEPTEMBER_Q10|R|ENVIRONMENT|레오폴드;레건;테일러;싱어|ENV_SPECTRUM|P|레오폴드 대지 윤리(전체론적 생태 중심)와 동물·생명 중심(개체론) 비교|생태 중심 관점(정복자에서 구성원으로, 생명 공동체의 선)과 개체론적 관점 대비|레오폴드 생태 중심 원천(28예시 Q4 을 제시문과 같은 논리)이 포함. 인간 중심 측이 없어 PARTIAL.||1
2024_SEPTEMBER_Q10|R|ENVIRONMENT|레오폴드;레건;테일러;싱어|ENV_SPECTRUM|P|레오폴드 대지 윤리(전체론적 생태 중심)와 동물·생명 중심(개체론) 비교|생태 중심 관점(정복자에서 구성원으로, 생명 공동체의 선)과 개체론적 관점 대비|레오폴드 생태 중심 원천(28예시 Q4 을 제시문과 같은 논리)이 포함. 인간 중심 측이 없어 PARTIAL.||1
2020_CSAT_Q15|R|AID|싱어;롤스;노직|AID_CORE|P|해외 원조의 근거·목적·범위 비교(싱어 이익 평등 고려에 따른 보편 의무 vs 롤스 질서정연한 사회 지원·차단점 vs 노직 자선)|세계 빈곤 해결을 위한 원조 의무와 방식 비교 선지|세계화에 따른 빈부 격차 해결(2-04-01), 세계시민·국제 협력(2-04-02), 세계 인권 문제(2-01-03)의 원천. 원조 이론 세부는 PARTIAL.||1
2021_CSAT_Q04|R|AID|싱어;롤스;노직|AID_CORE|P|해외 원조의 근거·목적·범위 비교(싱어 이익 평등 고려에 따른 보편 의무 vs 롤스 질서정연한 사회 지원·차단점 vs 노직 자선)|세계 빈곤 해결을 위한 원조 의무와 방식 비교 선지|세계화에 따른 빈부 격차 해결(2-04-01), 세계시민·국제 협력(2-04-02), 세계 인권 문제(2-01-03)의 원천. 원조 이론 세부는 PARTIAL.||1
2022_CSAT_Q19|R|AID|싱어;롤스;노직|AID_CORE|P|해외 원조의 근거·목적·범위 비교(싱어 이익 평등 고려에 따른 보편 의무 vs 롤스 질서정연한 사회 지원·차단점 vs 노직 자선)|세계 빈곤 해결을 위한 원조 의무와 방식 비교 선지|세계화에 따른 빈부 격차 해결(2-04-01), 세계시민·국제 협력(2-04-02), 세계 인권 문제(2-01-03)의 원천. 원조 이론 세부는 PARTIAL.||1
2024_JUNE_Q14|R|AID|싱어;롤스;노직|AID_CORE|P|해외 원조의 근거·목적·범위 비교(싱어 이익 평등 고려에 따른 보편 의무 vs 롤스 질서정연한 사회 지원·차단점 vs 노직 자선)|세계 빈곤 해결을 위한 원조 의무와 방식 비교 선지|세계화에 따른 빈부 격차 해결(2-04-01), 세계시민·국제 협력(2-04-02), 세계 인권 문제(2-01-03)의 원천. 원조 이론 세부는 PARTIAL.||1
2024_SEPTEMBER_Q18|R|AID|싱어;롤스;노직|AID_CORE|P|해외 원조의 근거·목적·범위 비교(싱어 이익 평등 고려에 따른 보편 의무 vs 롤스 질서정연한 사회 지원·차단점 vs 노직 자선)|세계 빈곤 해결을 위한 원조 의무와 방식 비교 선지|세계화에 따른 빈부 격차 해결(2-04-01), 세계시민·국제 협력(2-04-02), 세계 인권 문제(2-01-03)의 원천. 원조 이론 세부는 PARTIAL.||1
2025_CSAT_Q14|R|AID|싱어;롤스;노직|AID_CORE|P|해외 원조의 근거·목적·범위 비교(싱어 이익 평등 고려에 따른 보편 의무 vs 롤스 질서정연한 사회 지원·차단점 vs 노직 자선)|세계 빈곤 해결을 위한 원조 의무와 방식 비교 선지|세계화에 따른 빈부 격차 해결(2-04-01), 세계시민·국제 협력(2-04-02), 세계 인권 문제(2-01-03)의 원천. 원조 이론 세부는 PARTIAL.||1
2021_JUNE_Q04|D|ENVIRONMENT|-|D_BIOETHICS|-|동물 복제·인간 배아 복제 허용 논쟁|-|생명 윤리(복제) 토론으로 통합사회 자연관·환경 문제와 연결되지 않음.||1
2022_JUNE_Q11|D|ENVIRONMENT|-|D_BIOETHICS|-|신약 개발을 위한 동물 실험 찬반|-|생명 윤리(동물 실험) 토론으로 통합사회 자연관 비교와 연결이 명목적.||1
2025_CSAT_Q06|R|ENVIRONMENT|요나스|ENV_SUSTAIN|P|현대 기술의 누적 결과가 미래 세대에 미치므로 지구 생태계 전체를 포함하는 새로운 책임 윤리|인간 책임 범위에 지구 생태계 전체를 포함해야 한다는 보기|미래 세대와 지속가능성(2-05-02·2-05-03), 생태시민의 실천(1-03-03)에 쓸 원천. PARTIAL.|책임 윤리 세부|1
2025_SEPTEMBER_Q06|R|ENVIRONMENT|레오폴드;칸트|ENV_CORE|F|레오폴드 대지 윤리(인간은 생명 공동체의 구성원) vs 칸트 인간 중심 간접적 의무론, '적어도 한 사람 긍정' 또는 상호 비판 구조|토지를 자원으로만 이용하지 말 것, 동물 학대 금지 의무 등 인간 중심·생태 중심 판별 보기|28예시 Q4(갑·을 중 적어도 한 사람이 긍정할 진술, 베이컨 vs 레오폴드)와 형식·논리가 사실상 같음. 인간 중심 측이 칸트라는 차이만 있음.|V3 correction에서 칸트 세부 이유로 DROP된 문항|1
2026_CSAT_Q07|R|ENVIRONMENT|레오폴드;칸트|ENV_CORE|F|레오폴드 대지 윤리(인간은 생명 공동체의 구성원) vs 칸트 인간 중심 간접적 의무론, '적어도 한 사람 긍정' 또는 상호 비판 구조|토지를 자원으로만 이용하지 말 것, 동물 학대 금지 의무 등 인간 중심·생태 중심 판별 보기|28예시 Q4(갑·을 중 적어도 한 사람이 긍정할 진술, 베이컨 vs 레오폴드)와 형식·논리가 사실상 같음. 인간 중심 측이 칸트라는 차이만 있음.|V3 correction에서 칸트 세부 이유로 DROP된 문항|1
2025_JUNE_Q09|R|ENVIRONMENT|레건;테일러;칸트;싱어|ENV_SPECTRUM|P|칸트 인간 중심 간접적 의무론과 동물 권리·생명 중심 관점 비교|도덕적 행위 능력과 도덕적 존중 대상의 관계, 간접적 의무 보기|인간 중심 vs 탈인간 중심 비교 원천(1-03-02). 생태 중심 부재로 PARTIAL.||1
2027_SEPTEMBER_Q11|R|ENVIRONMENT|레건;테일러;칸트;싱어|ENV_SPECTRUM|P|칸트 인간 중심 간접적 의무론과 동물 권리·생명 중심 관점 비교|도덕적 행위 능력과 도덕적 존중 대상의 관계, 간접적 의무 보기|인간 중심 vs 탈인간 중심 비교 원천(1-03-02). 생태 중심 부재로 PARTIAL.||1
2026_CSAT_Q20|R|ENVIRONMENT|싱어|ENV_SPECTRUM|P|싱어의 종차별 비판과 이익 평등 고려를 동물 실험 사례에 적용|인간 이익과 동물 이익의 동등 고려 조언|탈인간 중심(동물 중심) 자연관을 사례에 적용하는 원천. 생명 윤리 사례 비중으로 PARTIAL.|동물 실험 소재|1
2026_JUNE_Q10|R|ENVIRONMENT|테일러;레오폴드;싱어|ENV_SPECTRUM|P|레오폴드 생태 중심(대지는 에너지 회로, 생명 공동체의 통합성)과 개체론적 동물·생명 중심 비교|생명 공동체 중심 판단, 생태계 균형을 위한 개입, 동물 이용의 정당성 보기|레오폴드 생태 중심 원천이 포함. 인간 중심 측 부재로 PARTIAL.||1
2027_JUNE_Q14|R|ENVIRONMENT|테일러;레오폴드;싱어|ENV_SPECTRUM|P|레오폴드 생태 중심(대지는 에너지 회로, 생명 공동체의 통합성)과 개체론적 동물·생명 중심 비교|생명 공동체 중심 판단, 생태계 균형을 위한 개입, 동물 이용의 정당성 보기|레오폴드 생태 중심 원천이 포함. 인간 중심 측 부재로 PARTIAL.||1
2027_JUNE_Q05|R|ENVIRONMENT|요나스|ENV_SUSTAIN|P|인간 권력 확장에 따라 책임이 생태계와 인류의 미래 생존까지 확장되어야 한다|인간 상호 간 책임을 인간과 자연 간 책임으로 확장해야 한다는 선지|미래 세대·지속가능성(2-05)과 생태시민 실천(1-03-03) 원천. PARTIAL.|책임 윤리 세부|1
2015_CSAT_Q06|R|PUNISHMENT|칸트;벤담;베카리아;루소;헤겔|PUN_CORE|F|형벌의 정당화 근거 비교: 칸트 응보주의(범죄를 저질렀기 때문에, 동등성, 인격 존중, 살인에 대한 사형) vs 공리주의 예방주의(벤담·베카리아: 범죄 예방·사회 전체 이익, 형벌 자체는 악, 지속성)|응보 vs 예방, 사형의 정당성, 형벌의 목적에 관한 비교 보기·선지|28예시 Q16(칸트 응보주의 vs 공리주의적 예방, 사형·교정적 정의 선지)과 같은 비교 구조. 2-02-01 해설 '교정적 정의', 고려 사항 '공정한 법 집행을 통한 교정적 정의'와 직접 연결.|사상가별 세부(베카리아 지속성 등) 포함|1
2015_SEPTEMBER_Q09|R|PUNISHMENT|칸트;벤담;베카리아;루소;헤겔|PUN_CORE|F|형벌의 정당화 근거 비교: 칸트 응보주의(범죄를 저질렀기 때문에, 동등성, 인격 존중, 살인에 대한 사형) vs 공리주의 예방주의(벤담·베카리아: 범죄 예방·사회 전체 이익, 형벌 자체는 악, 지속성)|응보 vs 예방, 사형의 정당성, 형벌의 목적에 관한 비교 보기·선지|28예시 Q16(칸트 응보주의 vs 공리주의적 예방, 사형·교정적 정의 선지)과 같은 비교 구조. 2-02-01 해설 '교정적 정의', 고려 사항 '공정한 법 집행을 통한 교정적 정의'와 직접 연결.|사상가별 세부(베카리아 지속성 등) 포함|1
